x= 478.1 y= 442.2 sz= 4.8 black     | No
x=  44.7 y= 452.4 sz= 4.8 black     | 41
x= 382.2 y= 453.6 sz= 4.8 black     | Yes
x= 478.1 y= 453.6 sz= 4.8 black     | Yes
x=  54.9 y= 456.0 sz= 4.8 black     | 12 Hours Post Dose
x= 118.4 y= 456.0 sz= 4.8 black     | Left
x= 149.0 y= 456.0 sz= 4.8 black     | 1
x= 382.2 y= 461.4 sz= 4.8 black     | No
x= 478.1 y= 461.4 sz= 4.8 black     | No
x=  44.7 y= 471.6 sz= 4.8 black     | 42
x= 382.2 y= 472.8 sz= 4.8 black     | Yes
x= 478.1 y= 472.8 sz= 4.8 black     | Yes
x=  54.9 y= 475.2 sz= 4.8 black     | 12 Hours Post Dose
x= 118.4 y= 475.2 sz= 4.8 black     | Left
x= 149.0 y= 475.2 sz= 4.8 black     | 2
x= 382.2 y= 480.6 sz= 4.8 black     | No
x= 478.1 y= 480.6 sz= 4.8 black     | No
x=  44.7 y= 490.8 sz= 4.8 black     | 43
x= 382.2 y= 492.0 sz= 4.8 black     | Yes
x= 478.1 y= 492.0 sz= 4.8 black     | Yes
x=  54.9 y= 494.4 sz= 4.8 black     | 12 Hours Post Dose
x= 118.4 y= 494.4 sz= 4.8 black     | Right
x= 149.0 y= 494.4 sz= 4.8 black     | 1
x= 382.2 y= 499.8 sz= 4.8 black     | No
x= 478.1 y= 499.8 sz= 4.8 black     | No
x=  44.7 y= 510.0 sz= 4.8 black     | 44
x= 382.2 y= 511.2 sz= 4.8 black     | Yes
x= 478.1 y= 511.2 sz= 4.8 black     | Yes
x=  54.9 y= 513.6 sz= 4.8 black     | 12 Hours Post Dose
x= 118.4 y= 513.6 sz= 4.8 black     | Right
x= 149.0 y= 513.6 sz= 4.8 black     | 2
x= 382.2 y= 519.0 sz= 4.8 black     | No
x= 478.1 y= 519.0 sz= 4.8 black     | No
